parameter_names,S1,S1_conf,ST,ST_conf
sigma,-6.192713216219913e-05,0.0001690958639561731,0.000629402388055199,0.00026971446133485
f1,0.0007828023423601379,0.0009420758035138438,0.007038994677080151,0.0017067598760664865
K2,0.02661972982478959,0.004960443857505013,0.2041029610200604,0.012319505791009619
b2,0.0007346252057238119,0.002780991864572566,0.06698322843413781,0.008009702010415138
a2,0.007676546475613206,0.003949946702230743,0.09917451700755558,0.007942129812134708
d2,0.0005475187969217829,0.004057048259672456,0.07176018754366771,0.009021537666022698
e2,0.0010959932496078164,0.0016374192398382018,0.022333228355913434,0.0036574570861078494
g2,0.0005580229467336454,0.0008035078588522495,0.008443955654925204,0.0016894044404064115
c3,0.061975438585269604,0.007662160949719995,0.34874958502491765,0.02077575733919326
b3,0.03986639014514647,0.006139574203772671,0.2714584023364597,0.017634805182884225
d4,0.2089072609499909,0.02044825239397076,0.703639690521816,0.029402054186580484
c41,0.00010290527141001629,0.00010682915739311572,0.00038212513560223217,0.00014529969054767196
c42,0.03819240856844889,0.005535883631888095,0.23480002720506218,0.015130908783805153
e5,0.0015503386908003673,0.0016147856773455057,0.027557409419761023,0.004291745572074996
c51,0.000344466902710441,0.00032347931364468493,0.0012401792252832505,0.000336625999583272
c52,0.0012118373676925842,0.0013863203727021982,0.039453124296265324,0.004266349590433775
K6,4.678138290399387e-05,0.000421655079649637,0.001356156151181461,0.00062219621183445
f6,-0.0001377896601676059,0.00033349191752812574,0.001469591961828175,0.000693113807883591
b6,0.007218575765834148,0.004313638057556048,0.14705775354815534,0.012928612472362365
c6,0.004645297676613973,0.002510852031121682,0.09883884970855493,0.010707658334151103
K7,0.0001240156593652886,0.00011006254094254562,0.00043359534490821126,0.0001317789302319573
g7,0.0007862523041673506,0.0015383777185605499,0.0032684147806730152,0.0007221689389304647
b7,0.0027896037734921617,0.0020516362672672248,0.018273972015560157,0.001966060054155382
c7,0.001521726461603715,0.0015335575915747558,0.013836128739738223,0.0020513323464150814
dummy,0.0,0.0,0.0,0.0
