parameter_names,S1,S1_conf,ST,ST_conf
sigma,1.8889855138813837e-05,0.00029975296172436673,0.0008471143880618699,0.0001998045150584652
f1,0.0002245863421078079,0.00090547514280279,0.0072844194130323526,0.0006597562375995589
K2,0.3937445975535449,0.007125043566802953,0.4752424810230915,0.006542093172057699
b2,0.003532057397235827,0.004174522819810832,0.12375081645140937,0.003072157696198448
a2,0.03278043502506439,0.003617536152147037,0.09246126580643763,0.0024782173182293665
d2,-0.000298378708139481,0.0010888713972819505,0.010425073040577793,0.0008672499307060914
e2,0.004859619773391241,0.0020045495700290183,0.027830871588423907,0.0014170591573802013
g2,0.008644927467980863,0.0021467198969383704,0.04695456939831969,0.0017509211142011079
c3,0.022048732385303887,0.004062434344462233,0.20488425291721743,0.00512187750449115
b3,0.02008295639433847,0.00479048164232231,0.1825106004469209,0.004629613155201796
d4,0.007150162996931397,0.0019342238770448555,0.03382341958004183,0.0018133512849285642
c41,6.605229737217975e-05,0.00012937865773115178,0.00018906678409828892,6.563407222198123e-05
c42,0.001473492227229816,0.0014475985706867082,0.017415130346409707,0.0011510303955688328
e5,0.006871372759660934,0.0018446456972281563,0.03707781028876763,0.0015318468728619185
c51,7.815190463841072e-05,0.0006064951326295325,0.00243028825476731,0.00028393380587004094
c52,0.008762511948834397,0.002640135079424021,0.04053238129560974,0.0013678524329028838
K6,-0.00036452670653959864,0.0005142027524933661,0.0016089000710126965,0.00028587910155459064
f6,-0.0002042649822059082,0.0004754511576903169,0.001777431390660469,0.0003163184522900661
b6,0.07631019172391965,0.0050953469105470975,0.23968608230176888,0.004977985299750054
c6,0.02980443560834864,0.0035906687481545092,0.14858956892383457,0.004315418081459663
K7,-0.00039775015876598635,0.0006348641920886118,0.0030844246359734997,0.0003151550854082434
g7,0.0021834278628659054,0.00165203110522095,0.01951432233348714,0.0009128728286146184
b7,0.020714795397213923,0.002584160772115982,0.07430574428547033,0.002012012874819505
c7,0.005167806711693894,0.0017678847150649506,0.03282642563806439,0.0014461793987124594
dummy,0.0,0.0,0.0,0.0
