parameter_names,S1,S1_conf,ST,ST_conf
sigma,0.00017590779558623136,0.0005387129529294588,0.001889612731031745,0.0004820460832368512
f1,0.00012668553117951286,0.0008148046677027709,0.008426989324950786,0.0012552221794232985
K2,0.07026346887511618,0.005481269549178662,0.22459799761427235,0.005713947028627047
b2,0.001971328486264955,0.002885161272910887,0.07913364517285887,0.0032260660839671354
a2,0.01497367990594418,0.002954965843547262,0.09969682307391771,0.003881667214596329
d2,0.0001751830691005015,0.0012184114745988734,0.014012107907172017,0.0014549634151666637
e2,0.006137355701646478,0.0025532031779845793,0.05754979970339511,0.0033968627943278895
g2,0.0014618839048040027,0.0010762847870054537,0.011437450852217874,0.0009763203981877267
c3,0.17228533734960833,0.0076568989109970795,0.4304742042680168,0.009706777336408137
b3,0.11057379748867048,0.005482979282605834,0.33258242837105534,0.008357173667528101
d4,0.004522476104271186,0.0021411896017104358,0.031050509605267475,0.0019859048823222102
c41,1.0570338518902832e-06,0.00012918051566308003,0.00019744533945902903,5.8323933670098664e-05
c42,0.0013996146538183061,0.001527286756698446,0.02201490845843249,0.0018829192733007985
e5,0.07454798503173302,0.006459014092287639,0.2520649087133771,0.006145501590389772
c51,0.0008757461975320515,0.0008435665725711437,0.006459982844325943,0.0008310062155949623
c52,0.07443676038311241,0.00529341567936068,0.2350779531764638,0.005983062617338558
K6,0.00033593789015879245,0.000612414611990231,0.002613081128673736,0.0006214481680716585
f6,-1.0562235668946455e-05,0.0005516785477369619,0.0023364654179636644,0.00047987607958312114
b6,0.02351732650907286,0.003803842949453032,0.1579888218825717,0.005608204428710293
c6,0.014283936927075094,0.0035645833039506733,0.11956453671372648,0.0045752547549260825
K7,0.00011144436116204244,0.0003857840325025718,0.0017529576293137529,0.00046896085452709994
g7,0.0003564137803101196,0.0007196549831026515,0.00468694892289963,0.0005746740683087696
b7,0.0028980431973918094,0.001520490554723383,0.024046429622183774,0.0017014601665548868
c7,0.0012061609875432778,0.0013764500044297248,0.016017264537993528,0.0012766599844557043
dummy,0.0,0.0,0.0,0.0
