parameter_pairs,S2,S2_conf
sigma - f1,-0.00010849176367560702,0.00020762191978659252
sigma - K2,-0.00017614608552607436,0.00019353681015223445
sigma - b2,-0.00020230432399595544,0.00022862774838536853
sigma - a2,-8.692286893047241e-05,0.00021944399727452025
sigma - d2,-0.00010587319681968599,0.00020818667404570024
sigma - e2,-9.961705444103477e-05,0.00021240161037344116
sigma - g2,-0.00010657163258962128,0.00020902876034371132
sigma - c3,-8.49178356967053e-05,0.00021174856031360727
sigma - b3,-0.00010752959983847954,0.0002082408896913271
sigma - d4,-9.333536109984336e-05,0.0002081397535239264
sigma - c41,-0.00010860318997125791,0.00020784765498670056
sigma - c42,-9.476489004401581e-05,0.00020958952313963254
sigma - e5,-8.790175113585277e-05,0.000210694258468358
sigma - c51,-0.00010741767191448055,0.00020840700624770426
sigma - c52,-8.126694320038583e-05,0.00021142195022681297
sigma - K6,-0.00010825400872644316,0.00020842113148117323
sigma - f6,-0.00010701728189677622,0.0002079934080713954
sigma - b6,-0.00010651384009507036,0.00020855123065463755
sigma - c6,-0.00011159246491370097,0.00020723182392959417
sigma - K7,-0.00010697609737809178,0.00020818085200812773
sigma - g7,-0.00010735598922727178,0.00020768017258991097
sigma - b7,-8.634360954304582e-05,0.0002062199413815181
sigma - c7,-0.00010630291096582899,0.00020731208098397747
f1 - K2,-3.5452781003364464e-05,0.00036081752977935085
f1 - b2,-4.432827150989416e-05,0.00042303619204043385
f1 - a2,-0.00014621532337211196,0.00038683062231667785
f1 - d2,-0.00013176964497222624,0.00035750255371858866
f1 - e2,-0.00012785786729666276,0.0003530907570282168
f1 - g2,-0.00013282105808804998,0.00035702069731226565
f1 - c3,-0.00012729901001897088,0.0003528099181499168
f1 - b3,-9.882566514325198e-05,0.0003591751441209722
f1 - d4,-0.00011861315842189469,0.0003596717715270277
f1 - c41,-0.00012901646491467186,0.00035780911347024525
f1 - c42,-0.0001200095042300553,0.00035968222781448733
f1 - e5,-0.00010071879289066639,0.0003560812432171509
f1 - c51,-0.00012512702739169397,0.00035729919383638075
f1 - c52,-0.0001224334233110181,0.00036222703062504445
f1 - K6,-0.0001341005789473499,0.0003576138459231923
f1 - f6,-0.00012702985893526018,0.0003575168234305478
f1 - b6,-5.038665981327154e-05,0.00035675294231235776
f1 - c6,-9.363404119786225e-05,0.000359548719004863
f1 - K7,-0.00012933085410813896,0.00035786821915072053
f1 - g7,-0.0001241069889335935,0.0003576164399999772
f1 - b7,-7.517602062959193e-05,0.0003575058583727136
f1 - c7,-0.00011745586790582428,0.00035457374800589226
K2 - b2,0.007658227974618792,0.006921274012943377
K2 - a2,0.0008346353472382384,0.006913812199106974
K2 - d2,0.000507806484216204,0.006707909086791574
K2 - e2,0.0004207436895100449,0.006826622775918795
K2 - g2,0.00033334771170672557,0.00679105053406633
K2 - c3,0.00025848636504214586,0.00679674969408739
K2 - b3,0.0005291669085453208,0.006699749841880007
K2 - d4,0.00038983021003123624,0.00670624134333191
K2 - c41,0.0004344553755641077,0.00672398209741744
K2 - c42,0.0003466620419918129,0.006764989791383263
K2 - e5,0.0004860723765504186,0.006673757848421951
K2 - c51,0.00047417674593573395,0.00671107144369597
K2 - c52,0.0003033129447160658,0.006826067801816532
K2 - K6,0.0004040613810681557,0.00670697053710289
K2 - f6,0.00039145898093035394,0.006690994117216252
K2 - b6,0.000298042816308807,0.006704144026324914
K2 - c6,0.0004897495606397999,0.006719641766778992
K2 - K7,0.0003762212592252332,0.006709460894027879
K2 - g7,0.0004177469370604498,0.006715345281981652
K2 - b7,0.00018753384141408438,0.006644825793514828
K2 - c7,0.0002565786487887269,0.006726777696042725
b2 - a2,0.035386200223877534,0.005183587376963423
b2 - d2,-9.57021033797843e-05,0.004606110601284613
b2 - e2,0.001388597001441308,0.0046133838028922175
b2 - g2,0.00010774832908707439,0.00463007104452845
b2 - c3,0.00036561804679166024,0.004673275019022014
b2 - b3,0.000605292311883208,0.004687117075085999
b2 - d4,-9.452207878554714e-05,0.004681783373255729
b2 - c41,-0.0002996892601641878,0.004609451437668631
b2 - c42,-2.7704673436834974e-05,0.004572093951086613
b2 - e5,0.0009496345046543218,0.00467457290006519
b2 - c51,-0.00021057610586496227,0.0046087476593142055
b2 - c52,0.0029615015087419254,0.004710902769016389
b2 - K6,-0.00021204325198416943,0.00462929165723115
b2 - f6,-0.00025457523905334764,0.004615465129681886
b2 - b6,0.00011092702452865008,0.004591006308464398
b2 - c6,-0.0001784534930544497,0.00461550183358838
b2 - K7,-0.00027486295012076186,0.004623796604417551
