,minimum,mean,median,maximum,CV,names
sigma,0.02153416053921564,0.03133878445947553,0.031254746171830404,0.042679610906862786,0.2049585188801534,sigma
f1,0.020389476102941173,0.0294097163971778,0.02849015778186273,0.041863893995098045,0.2392441119597966,f1
K2,0.1916586243872549,0.38408926967328194,0.3732665541565534,0.6344519761029411,0.35930204297561413,K2
b2,0.045201759708737854,0.11707986247441937,0.09497946857747958,0.2803791360294117,0.571949213201217,b2
a2,0.049312613774271874,0.16401704160122785,0.1657735702366505,0.30413181678921564,0.4508851716249401,a2
d2,0.020286841299019608,0.03074916714258518,0.03030393160753378,0.04278645833333333,0.1977491135292046,d2
e2,0.02410500919117642,0.04492912309037692,0.04558660118325242,0.07059666053921565,0.3278326127139735,e2
g2,0.028159083946078467,0.042297581441557236,0.04001034007352944,0.06773437500000001,0.251137615002175,g2
c3,0.021606303094660162,0.03661169956453457,0.03349681320495433,0.0689623786407767,0.3823113909144918,c3
b3,0.024897034283980546,0.04216110697161145,0.04492953431372548,0.06329197303921569,0.3127852437571145,b3
d4,0.018728170955882306,0.03366709015978964,0.029776920628688378,0.0580254475121359,0.3351527014193374,d4
c41,0.017543658088235325,0.025670479592018836,0.026309257433252436,0.033368183210784275,0.20263851630097623,c41
c42,0.024091322815534055,0.03967238140705311,0.04028703278186274,0.05161190257352943,0.23216598193820262,c42
e5,0.030461923543689262,0.04600482871394917,0.03700080422794119,0.07143241808252432,0.3213538678185298,e5
c51,0.016715303308823537,0.03169711838770702,0.03147641080097083,0.04708141850490194,0.267588697128162,c51
c52,0.039659435679611665,0.06710993903781172,0.06361411782552828,0.12667777267156863,0.3441015151892566,c52
K6,0.02281591322815535,0.03525401519072435,0.03433243317806489,0.05243795955882352,0.2376633040353825,K6
f6,0.022448299632353008,0.031940017906434436,0.032492587940819564,0.04329810049019611,0.17638731916714567,f6
b6,0.024887173847087385,0.03788969324076718,0.036382697610294126,0.062385493259803915,0.27407257904520743,b6
c6,0.022303155637254934,0.031862977480130436,0.03229243259803927,0.044127987132353,0.20307931593985482,c6
K7,0.02190563725490191,0.032002735416071765,0.0327138863357843,0.04215954350490203,0.18842179482760182,K7
g7,0.01690831801470588,0.029728526035717674,0.027421148108818724,0.050308287377450966,0.344534771615173,g7
b7,0.041465222997572826,0.06346250877474775,0.06378676470588235,0.09062653186274505,0.2372913659535248,b7
c7,0.0263431052791262,0.03976718177410526,0.040079822318794034,0.05785424325980393,0.2706416818973397,c7
