parameter_names,S1,S1_conf,ST,ST_conf
sigma,-0.00010154682133783632,0.0004008814598115206,0.0004208793672823795,8.691094169753097e-05
f1,9.460062874421359e-05,0.0007156002629853682,0.0010464894379912182,8.614941013628807e-05
K2,0.5695104837674123,0.016260501583936184,0.582830405469289,0.012967495567823232
b2,0.10940686541487442,0.009820664471575109,0.16878661034416276,0.006360699310417188
a2,0.20651741668112517,0.009726372791142648,0.2522917329663178,0.0077627227696183965
d2,0.0002280288665876816,0.000711332750460084,0.0011623726312568175,0.0001016439415816447
e2,0.004359818214633387,0.002511433680425323,0.01414198969735067,0.0009814518534077665
g2,0.0013960231366387315,0.0014226846749613752,0.003512201220973556,0.00024609038511207013
c3,0.0016115580787751955,0.0025505528950233052,0.01260193329334785,0.0008251217942219381
b3,0.001542781746756917,0.0022593552738784774,0.011764357647938267,0.000712629636565666
d4,0.00016489407552568354,0.0008945875210996123,0.001797259817616517,0.0001837004136875113
c41,-9.536046116593454e-05,0.0003730652914644448,0.00032305896964251004,5.429696499306379e-05
c42,0.001004343496432631,0.0012636949800633509,0.0028678110156991465,0.00018925135642893062
e5,0.003404983007047606,0.0018967752198691262,0.010862516949374585,0.0006735398938249385
c51,-3.859928389284741e-05,0.00042981932533843345,0.0003580985023102171,5.1381734673965396e-05
c52,0.015574442940589506,0.0035208994507173624,0.03128060228986153,0.0017792153810499258
K6,-1.569430463395887e-05,0.0003862974047030685,0.00035364731372396506,5.5512214431400316e-05
f6,9.492461118801508e-05,0.0003987918379911458,0.00035512876314459897,5.085067589865102e-05
b6,0.000879213306480317,0.001084666348237418,0.002017423041371511,0.00016635813258931878
c6,-9.042040017093149e-06,0.0006816506977307494,0.0011410530095446322,0.00013590829680552519
K7,-0.0001255541609521769,0.0003959278467135877,0.0003338929281029928,5.258217158199673e-05
g7,-2.1477601176303853e-06,0.0003995373411269883,0.0003383624168546403,4.098846661058261e-05
b7,0.0018651115545429784,0.001784509662788522,0.006399761012507085,0.0003773986102383077
c7,0.0010924478983393817,0.0011094276136580403,0.0030755421755523276,0.0003133705729977261
