parameter_pairs,S2,S2_conf
sigma - f1,-1.3293004592170268e-05,5.0140782015292275e-05
sigma - K2,-1.7253726624470722e-05,4.656369450289588e-05
sigma - b2,-9.971447338652344e-06,5.0396894165401894e-05
sigma - a2,-1.4134046077656295e-05,5.1410812045884065e-05
sigma - d2,-1.2583324708702924e-05,5.0172364798102635e-05
sigma - e2,-1.3667745951758238e-05,5.264972658516192e-05
sigma - g2,-1.339863247431402e-05,5.002284654822065e-05
sigma - c3,-9.056894628711731e-08,5.185226180388176e-05
sigma - b3,-1.1615132776914006e-05,5.4669288298789424e-05
sigma - d4,-1.4743648697603545e-05,5.024783686444246e-05
sigma - c41,-1.4006757707872346e-05,5.0115759494187285e-05
sigma - c42,-1.2410185945538445e-05,5.034408860903975e-05
sigma - e5,1.9474137488928456e-05,7.376671155579601e-05
sigma - c51,-1.4431045703767313e-05,5.004329026452857e-05
sigma - c52,-2.61198772781579e-06,4.676445122804685e-05
sigma - K6,-1.4000516254099882e-05,5.011805225870547e-05
sigma - f6,-1.4011413468955749e-05,5.011418740146634e-05
sigma - b6,-1.3716302330522124e-05,5.038037642375149e-05
sigma - c6,-1.4386023473163586e-05,5.012070744230453e-05
sigma - K7,-1.4005631818003124e-05,5.010848971492004e-05
sigma - g7,-1.421807039486929e-05,5.009452480002037e-05
sigma - b7,-1.3764347274480371e-05,5.003832476406725e-05
sigma - c7,-1.4330296243615136e-05,4.9869394639169474e-05
f1 - K2,-5.7927468011823025e-05,0.00034993696313704453
f1 - b2,-0.00011577887444834791,0.0003497578129851321
f1 - a2,-7.402664351571255e-05,0.00033861519260563566
f1 - d2,-6.977767414358703e-05,0.0003394948632837999
f1 - e2,-6.367641780021796e-05,0.00033418787300811085
f1 - g2,-6.908467046260612e-05,0.00034104546857787713
f1 - c3,4.428790274596528e-06,0.0003387509101163168
f1 - b3,-5.615577966947005e-05,0.00033291161161785383
f1 - d4,-6.245256873267764e-05,0.0003396416050609711
