,minimum,mean,median,maximum,CV,names
sigma,0.01732734754247578,0.03126146716152898,0.029495572145158105,0.06159572227328425,0.28694091206482125,sigma
f1,0.014099737371055854,0.030796541967415575,0.028887148889250785,0.06067047717524515,0.27683207206604704,f1
K2,0.02515955307904416,0.10875251164954661,0.11362853434570122,0.20620346966911773,0.4200658278534154,K2
b2,0.01585112636529129,0.05172887314484729,0.04543282303155638,0.1381693482630461,0.504185819361907,b2
a2,0.018867474724264754,0.0677559083379066,0.06396258453130949,0.13615760952818623,0.4603193632810228,a2
d2,0.01580422794117653,0.03310791975943992,0.031769851983762254,0.0642453661151961,0.27858132489827764,d2
e2,0.016269244025735263,0.035664444855683285,0.03404789943321079,0.06789186963848037,0.3234902268583302,e2
g2,0.01532441980698529,0.0361696595214286,0.034500182373465166,0.06950085209865198,0.32892091987344896,g2
c3,0.024127943909283966,0.16907335693777661,0.16983609858726562,0.37520443814472093,0.5151442162855361,c3
b3,0.022462146351638346,0.1403980160460299,0.13531767979681256,0.27040857651654415,0.5007255198992979,b3
d4,0.01424680223651964,0.03344918173734242,0.031816430185355404,0.07146560968137255,0.3598115761565843,d4
c41,0.0172045661407767,0.037822744872396195,0.03787341547947304,0.06342940984987744,0.24367251749662736,c41
c42,0.01875081380208332,0.0427073472547867,0.03973663626365287,0.08819023058252429,0.35220892397576303,c42
e5,0.16205566406250005,0.3317657707326189,0.3218969082864107,0.565419921875,0.30049035643036587,e5
c51,0.018845837162990153,0.049692221057135874,0.04775232326319484,0.103192885315534,0.39097349257621156,c51
c52,0.05023303462009798,0.2774650198259105,0.3073894539801661,0.4452933995863971,0.40422607983208464,c52
K6,0.016147413066789185,0.0322653031275655,0.03208749808517153,0.054826277190563766,0.2354627268466758,K6
f6,0.015290361422936882,0.041481833012971384,0.03971848443374615,0.08763427734375001,0.3155393969654783,f6
b6,0.015628015854779465,0.034641880531390924,0.034501330805759844,0.05990966796874997,0.2834683277792947,b6
c6,0.01993173636642165,0.034926245305417,0.03310786228553922,0.08649259993173541,0.3203305677507323,c6
K7,0.021044826133578498,0.04144911778579093,0.03828001535394954,0.0740926027760922,0.3299159821778511,K7
g7,0.021428701363357838,0.040621043398610376,0.040839918809415454,0.0656357709099265,0.2573177135950381,g7
b7,0.018162213668082572,0.040753378876272714,0.03822283007180416,0.08996414483762255,0.37973490056362125,b7
c7,0.016433440563725532,0.03610855965838531,0.03310185451133574,0.07052413641237754,0.3497633775483173,c7
