parameter_names,S1,S1_conf,ST,ST_conf
sigma,-0.00024778884820221705,0.0003491428330029597,0.00014410334930412187,0.00010111882354217994
f1,0.0004664050720706725,0.0011259696275348079,0.000682284414711867,0.0003354437637189174
K2,0.03153577399650735,0.019103415350439364,0.16710190996725907,0.021162754455108325
b2,0.005407511373798021,0.008342565302948173,0.0374135333993266,0.008481570179136004
a2,0.010251803614993026,0.011528540930607083,0.07993811158338601,0.011267521707179737
d2,-0.0006196881215971663,0.0009420343502497275,0.0006520376737447545,0.00018867522509517082
e2,0.003006986333020756,0.004379348402713046,0.014877870639887438,0.0030610005164811347
g2,-0.00015887892997080768,0.0011868251082208813,0.0009727638389317042,0.0003103897882081309
c3,0.07893316891832876,0.024061854406162913,0.29155978574121205,0.03778394675747304
b3,0.04997552372108189,0.02313253186434306,0.22639560855684673,0.029494413239114104
d4,0.0007323721346343112,0.0013740857595247204,0.0015380186158725898,0.0004858163874723875
c41,-7.478296930917934e-05,0.0003574822994082748,0.00011177286630284779,7.501967000117911e-05
c42,0.00020591724695556812,0.001735260839301154,0.0018550074352033322,0.0005011594965886805
e5,0.33884036375106874,0.039790067599685876,0.6371766258746514,0.040542905541393386
c51,0.0001856809651848611,0.0008900016834291429,0.000450714240797249,7.692266919370691e-05
c52,0.07105729767772043,0.019638705372662702,0.2697247701059747,0.028446076850668835
K6,0.00016825517839905485,0.0004126621578835878,0.00012188552258422088,9.220882032288912e-05
f6,4.093449261200065e-05,0.0003134426495929048,0.00010900970194822964,7.503064244228705e-05
b6,0.0008712256457681987,0.001733781838740465,0.0017856862405682325,0.0012075729799694347
c6,0.0002641876830970885,0.001033061828233155,0.0006341047751207376,0.00019494039434115953
K7,-0.00017985111102894694,0.0004426295296957331,5.9275551692993e-05,3.3958471536354724e-05
g7,-0.00019574611021159626,0.0004270374465502349,0.00012732106095881602,9.463841478335008e-05
b7,0.0012866332099310462,0.0017482804529828798,0.002631800132671325,0.0009178581232717549
c7,0.0007744129137296098,0.0013476341859799262,0.0015295022779871364,0.00045737596632366176
