parameter_pairs,S2,S2_conf
sigma - f1,-4.6494525348126715e-05,0.00018375557306700682
sigma - K2,-2.638305910940969e-05,0.0001803261217789564
sigma - b2,-4.373705456842429e-05,0.00018118364176122003
sigma - a2,-2.23534629175369e-06,0.0001843607920355193
sigma - d2,-3.839812292892436e-05,0.000199790012630296
sigma - e2,-4.169389266462536e-05,0.00018532372185346856
sigma - g2,-4.683876749264706e-05,0.00018515704037454838
sigma - c3,-1.995026186501353e-05,0.00020167524874863634
sigma - b3,-5.0836563161849035e-06,0.00018049008837122652
sigma - d4,-0.00028238305016392573,0.0005188805536578172
sigma - c41,-4.5780892963011475e-05,0.00018473087074537302
sigma - c42,-2.748349968573205e-05,0.00019136350743412744
sigma - e5,-3.912480861418795e-05,0.0001833114697843636
sigma - c51,-4.561904328138928e-05,0.00018550480962296206
sigma - c52,-4.227381113446841e-05,0.00018229233640134991
sigma - K6,-4.544339962834919e-05,0.0001850141740242325
sigma - f6,-4.833429885082031e-05,0.00018482098485086748
sigma - b6,-4.1322959809608414e-05,0.00018806831815563267
sigma - c6,-4.837421882666258e-05,0.00018486279711534483
sigma - K7,-4.6032678318028803e-05,0.0001845863436938625
sigma - g7,-4.879195145935518e-05,0.0001855939129123367
sigma - b7,-5.008804723032909e-05,0.00018332110246254858
sigma - c7,-4.7648276488596465e-05,0.0001845532099292851
f1 - K2,1.5791665741549804e-05,0.0007445232864101961
f1 - b2,-0.0003121026041091402,0.0007313881482010078
f1 - a2,-0.0003053837414312803,0.0007574197947670573
f1 - d2,-0.00028968538281686786,0.0007439143710215892
f1 - e2,-0.0003046349327136186,0.0007408817094261546
f1 - g2,-0.00027762373760970255,0.0007339640849840765
f1 - c3,-0.00023108388607017555,0.0007758298257642765
f1 - b3,-0.00043105414531614816,0.0006921022991492636
f1 - d4,0.000587212860140407,0.0017914284062702018
f1 - c41,-0.0002786070082587033,0.0007350252031859138
f1 - c42,-0.00010279832466522643,0.0007295588616782311
f1 - e5,-0.00028985502231634327,0.0007412255342387247
f1 - c51,-0.0002766980295215493,0.0007354944491125421
f1 - c52,-0.0002670771301447937,0.0007362152146231367
f1 - K6,-0.00027435771864463423,0.0007357311453074691
f1 - f6,-0.00028298306445891086,0.000735421012368038
f1 - b6,-0.0002740698991732215,0.0007362992885224928
f1 - c6,-0.0002447740739416784,0.0007308742736139648
f1 - K7,-0.00028339343773713013,0.0007362501992320749
f1 - g7,-0.00027817257794626705,0.0007365540311982145
f1 - b7,-0.0002600948797121154,0.0007339274749439417
f1 - c7,-0.0002965288654675731,0.0007363785806706769
K2 - b2,-0.0001920850862503036,0.004427605542693357
K2 - a2,-0.0006881903113922245,0.00413004713799519
K2 - d2,-0.00029363041921182353,0.004372235326000506
K2 - e2,-0.0008805995929833581,0.004312773577704068
K2 - g2,-0.0006356553930151275,0.0043067157041906225
K2 - c3,0.0001945080679291722,0.00470204710899528
K2 - b3,-0.0002715560693863431,0.004512974490327945
K2 - d4,0.04516176479197198,0.010727980716753405
K2 - c41,-0.000601880964867547,0.004314515015281594
K2 - c42,0.0006860509789337887,0.004720679915045165
K2 - e5,-0.000761150008158218,0.00433279512063635
K2 - c51,-0.0005797975823475761,0.004310227409061307
K2 - c52,-0.000498020380222224,0.004355928176166976
K2 - K6,-0.0005849539763435623,0.004301182893812932
K2 - f6,-0.0005674339194571965,0.00429077470907193
K2 - b6,-0.0005771442154502782,0.004381470430086126
K2 - c6,-0.0004629703006839669,0.0043550317285841085
K2 - K7,-0.0005998629016571794,0.004298322016428164
K2 - g7,-0.0005456603209637996,0.004296448639927483
K2 - b7,-0.0004021719380608529,0.0043549154441317895
K2 - c7,-0.0006327686379167443,0.004324066782794287
b2 - a2,-0.0004192888968264086,0.0018348458036589077
b2 - d2,-0.0004646699647397849,0.0018876389606347877
b2 - e2,-0.0006478621805044076,0.001836617751944242
b2 - g2,-0.0007229999117505509,0.0018606488900309807
b2 - c3,-0.0004961214379429826,0.001689535654237905
b2 - b3,-0.0016680870767896636,0.0018399560497047746
b2 - d4,0.0015636106018385165,0.004250989550167086
b2 - c41,-0.0006865592513852528,0.0018568840845713166
b2 - c42,-0.0011158012510232573,0.0019037550703302328
b2 - e5,-0.000641728044647045,0.0018668506076600937
b2 - c51,-0.0006931569452194458,0.0018660450096629657
b2 - c52,-0.0005006334993061094,0.0018849595410028632
b2 - K6,-0.0006944456899089739,0.0018689710557166987
b2 - f6,-0.0007017488744234316,0.0018660598911812772
b2 - b6,-0.0005676280219228222,0.001971599590841578
b2 - c6,-0.0005020257123850582,0.001957534946702245
b2 - K7,-0.0006951533035534839,0.0018659688547636676
b2 - g7,-0.0007326583564389706,0.0018757035725198794
