,minimum,mean,median,maximum,CV,names
sigma,0.021002991315230535,0.038818988468178155,0.03563231492346637,0.0828587919068568,0.3319166941654133,sigma
f1,0.02019603056066177,0.0364106621225743,0.034860768037683836,0.06668801700367644,0.25024625271418793,f1
K2,0.021026030605279078,0.12065404088869788,0.1268328365933752,0.21879655263956305,0.477336897001968,K2
b2,0.024458199295343097,0.05696161165787519,0.05273147882199755,0.1642239883570995,0.47952195345739423,b2
a2,0.02509512003185682,0.08208977527861683,0.0783786320391324,0.17021048751531864,0.419570495970242,a2
d2,0.01811319591929611,0.03636623089331208,0.035335334329044135,0.0666443110447304,0.2966102245646239,d2
e2,0.02489141667930822,0.05169675236848474,0.04787475585937498,0.12021599264705879,0.34704346952143145,e2
g2,0.01957466873468139,0.03814105485458273,0.03692507276348039,0.07303533815870095,0.2675697577404176,g2
c3,0.021319378602851935,0.18763610016049234,0.18879423486058564,0.41147772097120094,0.5402974670053318,c3
b3,0.03365114698223043,0.1663789259327631,0.15975184311531804,0.34329752604166663,0.5261251676619916,b3
d4,0.21201703239889702,0.3528629462247391,0.34930376838235294,0.5211328125,0.2260694430872257,d4
c41,0.021362067657767048,0.04242482790828047,0.04122221384097481,0.07445769967384708,0.2698325510573723,c41
c42,0.1730901979932598,0.3356951241368864,0.35062835094975486,0.4671702186734068,0.2468786316839583,c42
e5,0.02275347541360284,0.057065636495942054,0.054223447603973296,0.118288811248483,0.3510221496668978,e5
c51,0.021855421344053383,0.045952760723643404,0.0419500220019364,0.11005771673998788,0.37938453998036586,c51
c52,0.022064315647754906,0.04871243081055617,0.04761665162689771,0.09100691253063731,0.3250682535813622,c52
K6,0.021512092141544148,0.03947135019874247,0.03724218415369786,0.0808784275428922,0.3204057273189182,K6
f6,0.020889246323529398,0.03939190939324664,0.03800211588541666,0.07584798177083335,0.2814942528101441,f6
b6,0.018264657918689253,0.03864938188919948,0.037272597857028085,0.06989320044424019,0.2613234964659259,b6
c6,0.023943828507965725,0.04210654532975204,0.03952125966151787,0.07190530215992647,0.2748247556318817,c6
K7,0.02091026156556372,0.0365825474229105,0.03568036247702207,0.05998597388174021,0.2245746069115935,K7
g7,0.023160232843137174,0.0463093901466647,0.04410153856464462,0.09421386718750002,0.31652910937897705,g7
b7,0.0277073062044903,0.056649014934639294,0.05518710267310045,0.09263734106924026,0.2810070858905419,b7
c7,0.01913652438561897,0.036876747182181244,0.03545951095281866,0.06721267999387259,0.2558686580828359,c7
