parameter_names,S1,S1_conf,ST,ST_conf
sigma,5.132525894380008e-05,0.00014200959389215305,0.00040652527558599324,5.482643749115398e-05
f1,0.0002623349647033401,0.0005517324970198443,0.003826862151637687,0.0006408034904835774
K2,0.022945775326787883,0.003154092105801851,0.1559491509563741,0.007122302107717966
b2,0.0023435020109307016,0.0011633504021411176,0.03286920409759217,0.0018738337561452613
a2,0.008430107628523678,0.002033807692508733,0.08299587109646125,0.004196707845435728
d2,5.4422325875719626e-05,0.0011240750349885951,0.026950896375448063,0.0022947012551259045
e2,0.0010759038238992108,0.0006301071768198066,0.009471587583819656,0.0006815826955629802
g2,2.4798932586758647e-05,0.0003712819079978045,0.0026223712835021,0.0002754455307654745
c3,0.04995869534283589,0.0037507216379641375,0.2560925728212261,0.009621489227532434
b3,0.036653124568761,0.0034084854509057656,0.20083591312003027,0.008804179840528017
d4,0.3362318315362154,0.01488562477899486,0.747956658439454,0.01734734621465649
c41,8.838017028324765e-06,0.00013772100545148648,0.00032647826315556174,4.22190253934733e-05
c42,0.06523991512752203,0.004399266474583559,0.2576590983239062,0.008885691028765852
e5,0.0006109704084146434,0.0007544475563201206,0.010424109442872677,0.0009135840884952793
c51,0.00012758756147390377,0.00013034980702229267,0.00031921391657961054,3.9035381408853964e-05
c52,0.000988003580998775,0.0009621798949076981,0.01930576685639962,0.0014758080063571424
K6,6.97485623101806e-05,0.00012305535320814847,0.0003419627954180408,7.42659782720283e-05
f6,4.848135828982043e-05,0.00012541134904912762,0.00032726685097863917,4.495880785368539e-05
b6,0.0004227041966040216,0.0008311984466753933,0.013854876588727963,0.0017413412542092953
c6,-0.0002512586008254843,0.0005695440347686963,0.008281982816107002,0.0011293444948327314
K7,6.856402783498475e-05,0.00016494407430812423,0.00033714291757525424,4.942857083045925e-05
g7,0.00015551569708385684,0.00017837848909373817,0.0006247091533524159,0.00012108589484189505
b7,0.00010771550819730338,0.0004416224391447905,0.005151299515137589,0.0004580245962266163
c7,0.0003848801213688757,0.00043513864322347937,0.003388847415191605,0.00038668249878027474
